Account/Practice,Category,Tier,Assigned PL,Hub Territory,City,State,Zip,2026 Visit-Days,2026 People Touches,Last Visit,Days Since Last,Frequency Status
Macomb Spine Care,Chiropractic,T1,Kristen,Sterling Heights,Clinton Township,Michigan,48038,3,3,2026-06-15,31,Unknown
Main Street Chiropractic Wellness Center,Chiropractic,T1,Kristen,Troy,Rochester Hills,Michigan,48309,3,3,2026-06-10,36,Unknown
Marshall Family Chiropractic,Chiropractic,T1,Kristen,Other/Metro,Saint Clair,Michigan,48079,3,6,2026-06-09,37,Unknown
Michigan Neurology and Spine Center,Pain Management,T1,Kristen,Port Huron,Port Huron,Michigan,48060,3,15,2026-06-16,30,Unknown
Paragon Chiropractic & Wellness Center,Chiropractic,T1,Kristen,Other/Metro,Bloomfield Hills,Michigan,48301,3,6,2026-05-18,59,Unknown
Port Huron Neurology,Neurology,T1,Kristen,Port Huron,Fort Gratiot,Michigan,48059,3,3,2026-05-05,72,Unknown
Rodnick Chiropractic,Chiropractic,T1,Kristen,Other/Metro,Commerce Charter Township,Michigan,48382,3,21,2026-05-26,51,Unknown
TLC Chiropractic,Chiropractic,T1,Kristen,Other/Metro,Northville,Michigan,48167,3,3,2026-06-04,42,Unknown
Beatty Chiropractic,Chiropractic,T1,Jasmine,Other/Metro,Brighton,Michigan,48114,3,6,2026-06-05,41,Unknown
Center for Integrated Neurology,Neurology,T1,Jasmine,Livonia,Novi,Michigan,48375,3,6,2026-07-10,6,Unknown
"Fox Run, PC(delete)",Pain Management,T1,Jasmine,Livonia,Novi,Michigan,48377,3,14,2026-07-01,15,Unknown
Gingell Chiropractic,Chiropractic,T1,Jasmine,Other/Metro,Plymouth,Michigan,48170,3,3,2026-07-13,3,Unknown
"GREENFIELD MEDICAL CENTER OF DEARBORN, PC",Pain Management,T1,Jasmine,Livonia,DEARBORN,Michigan,48126,3,3,2026-05-01,76,Unknown
Henry Ford Pain Clinic - Novi,Pain Management,T1,Jasmine,Livonia,Novi,Michigan,48377,3,3,2026-06-24,22,Unknown
Krasnick Regenerative Medicine,Pain Management,T1,Jasmine,Other/Metro,Ann Arbor,MI,48103,3,3,2026-05-27,50,Unknown
Michigan Spine & Brain - Novi,Spine,T1,Jasmine,Livonia,Novi,Michigan,48374,3,0,2026-06-23,23,Unknown
"MICHIGAN SPORTS AND SPINE CENTER, PC (not of value)",Spine,T1,Jasmine,Livonia,Livonia,Michigan,48152,3,19,2026-06-19,27,Unknown
Ouillette Chiropractic,Chiropractic,T1,Jasmine,Other/Metro,Brighton,Michigan,48114,3,9,2026-06-05,41,Unknown
PAIN MANAGEMENT ASSOCIATES OF MICHIGAN,Pain Management,T1,Jasmine,Livonia,Dearborn,Michigan,48128,3,9,2026-07-14,2,Unknown
Raad Al-Saraf MD PC,Spine,T1,Jasmine,Livonia,Dearborn,Michigan,48126,3,9,2026-06-01,45,Unknown
Trinity Health IHA Brain & Spine Surgery - Ann Arbor Campus,Neurosurgery,T1,Jasmine,Other/Metro,Ypsilanti,Michigan,48197,3,33,2026-07-13,3,Unknown
Trinity health physical therapy,Spine,T1,Jasmine,Other/Metro,Ypsilanti,Michigan,48197,3,6,2026-05-18,59,Unknown
WELLHEALTH MEDICAL ASSOCIATES - Belleville,Pain Management,T1,Jasmine,Other/Metro,BELLEVILLE,Michigan,48111,3,9,2026-05-28,49,Unknown
Balanced Living Chiropractic,Chiropractic,T1,Coty,Troy,Rochester Hills,Michigan,48307,3,3,2026-04-29,78,Unknown
Blue Water Pain Specialists - Macomb,Pain Management,T1,Coty,Sterling Heights,Macomb,Michigan,48044,3,0,2026-07-10,6,Unknown
Cheryl Lerchin MD Physical Medicine & Rehabilitation,Pain Management,T1,Coty,Other/Metro,Shelby Township,Michigan,48315,3,3,2026-06-12,34,Unknown
Chronic Pain Institute,Pain Management,T1,Coty,Sterling Heights,Sterling Heights,Michigan,48313,3,3,2026-06-02,44,Unknown
"Edward A. Tashjian, MD - Clarkston",PM&R,T1,Coty,Other/Metro,City of the Village of Clarkston,Michigan,48346,3,3,2026-06-08,38,Unknown
"GREAT LAKE PHYSICIANS, PC",Spine,T1,Coty,Livonia,LIVONIA,Michigan,48154,3,9,2026-06-19,27,Unknown
Healthquest Chiropractic,Chiropractic,T1,Coty,Livonia,Farmington Hills,Michigan,48335,3,3,2026-07-08,8,Unknown
Jagannathan Neurosurgery,Pain Management,T1,Coty,Troy,Troy,Michigan,48084,3,8,2026-07-13,3,Unknown
JOEL WELLNESS CLINIC,Spine,T1,Coty,Livonia,Livonia,Michigan,48154,3,3,2026-06-19,27,Up to date
Michigan Physicians Group - Livonia,Pain Management,T1,Coty,Livonia,Livonia,Michigan,48154,3,3,2026-06-19,27,Unknown
Millennium Orthopedics,Spine,T1,Coty,Livonia,FARMINGTON HILLS,Michigan,48334,3,6,2026-07-08,8,Unknown
