Account/Practice,Category,Tier,Assigned PL,Hub Territory,City,State,Zip,2026 Visit-Days,2026 People Touches,Last Visit,Days Since Last,Frequency Status
"Panush Md, Daniel",Primary Care,T3,Coty,Southfield,Southfield,MI,480341828,1,0,2026-02-19,147,Unknown
Patient Centered Family Medicine & OMT,Primary Care,T3,Coty,Other/Metro,Brighton,Michigan,48114,1,1,2026-02-11,155,Unknown
Picken Integrative Medicine,Primary Care,T3,Coty,Other/Metro,Saline,Michigan,48176,1,1,2026-03-16,122,Unknown
Restorative Medical Center,Primary Care,T3,Coty,Troy,Rochester Hills,Michigan,48307,1,1,2026-04-29,78,Unknown
Revolution Wellness,Primary Care,T3,Coty,Sterling Heights,Utica,Michigan,48317,1,1,2026-06-23,23,Unknown
Rodney Dewyer MD,Primary Care,T3,Coty,Other/Metro,Hamburg,Michigan,48139,1,0,2026-02-11,155,Unknown
Salta Direct Primary Care - Auburn Hills,Primary Care,T3,Coty,Troy,Auburn Hills,Michigan,48326,1,1,2026-06-05,41,Unknown
"Shelby Township, Ascension MyHealth Urgent Care",Urgent Care,T3,Coty,Other/Metro,Shelby Township,Michigan,48316,1,0,2026-02-25,141,Unknown
Shyam Mishra MD,Primary Care,T3,Coty,Sterling Heights,Sterling Heights,Michigan,48312,1,1,2026-03-04,134,Unknown
Silver Pine Medical Group Shelby Township,Primary Care,T3,Coty,Other/Metro,Shelby Township,Michigan,48316,1,0,2026-02-25,141,Unknown
Springfield Urgent Care - Hamburg,Urgent Care,T3,Coty,Other/Metro,Whitmore Lake,Michigan,48189,1,4,2026-02-11,155,Unknown
Springfield Urgent Care - Saline,Urgent Care,T3,Coty,Other/Metro,Saline,Michigan,48176,1,0,2026-03-16,122,Unknown
St Joseph Urgent Care,Urgent Care,T3,Coty,Other/Metro,Canton,Michigan,48188,1,0,2026-02-24,142,Unknown
Stony Creek Internal Medicine,Primary Care,T3,Coty,Other/Metro,Shelby Township,Michigan,48316,1,2,2026-02-25,141,Unknown
Tanir Medical Center,Primary Care,T3,Coty,Other/Metro,Clarkston,MI,48346,1,0,2026-05-21,56,Unknown
TRINITY COMMUNITY CARE,Primary Care,T3,Coty,Sterling Heights,UTICA,MI,48317,1,0,2026-05-18,59,Unknown
Trinity IHA Primary Care - Saline,Primary Care,T3,Coty,Other/Metro,Saline,Michigan,48176,1,4,2026-03-16,122,Unknown
U of M Internal Medicine Clinic - Brighton Health Center,Primary Care,T3,Coty,Other/Metro,Brighton,MI,48116,1,4,2026-02-11,155,Unknown
Ypsilanti Urgent Care,Urgent Care,T3,Coty,Other/Metro,Ypsilanti,Michigan,48197,1,0,2026-03-16,122,Unknown
ADVANCE MEDICAL HOME PHYSICIANS,Primary Care,T3,Sean,Troy,TROY,Michigan,48085,1,1,2026-03-25,113,Unknown
Aquino Integrative Internal Medicine,Primary Care,T3,Sean,Other/Metro,Roseville,Michigan,48066,1,2,2026-03-12,126,Unknown
Bi County Health Urgent Care,Urgent Care,T3,Sean,Other/Metro,Detroit,Michigan,,1,1,2026-02-17,149,Unknown
Corewell Health Urgent Care,Urgent Care,T3,Sean,Other/Metro,GROSSE POINTE,Michigan,,1,0,2026-06-03,43,Unknown
Doctors Urgent Care - Troy West,Urgent Care,T3,Sean,Troy,Troy,Michigan,48084,1,0,2026-02-11,155,Unknown
Downriver Podiatrists,Primary Care,T3,Sean,Sterling Heights,Warren,MI,48093-1700,1,1,2026-05-15,62,Unknown
GetWell Urgent Care,Urgent Care,T3,Sean,Other/Metro,Detroit,Michigan,48223,1,1,2026-02-18,148,Unknown
Livernois Primary and Urgent Care,Urgent Care,T3,Sean,Other/Metro,Detroit,Michigan,48221,1,1,2026-02-18,148,Unknown
Livewell Medical Clinic,Primary Care,T3,Sean,Other/Metro,Highland Park,Michigan,48203,1,0,2026-05-21,56,Unknown
Medpointe Rochester Urgent Care,Urgent Care,T3,Sean,Troy,Rochester,Michigan,48307,1,0,2026-01-21,176,Unknown
"Mouhamad Rihawi, MD",Primary Care,T3,Sean,Sterling Heights,Clinton Township,Michigan,48038,1,1,2026-03-26,112,Unknown
My Health Urgent Care (Ascension) - Clinton Township,Urgent Care,T3,Sean,Sterling Heights,Clinton Township,Michigan,48038,1,0,2026-02-05,161,Unknown
Neighborhood Primary Care,Primary Care,T3,Sean,Other/Metro,Orion Township,Michigan,48360,1,2,2026-05-13,64,Unknown
Office of Bassam Matti MD,Primary Care,T3,Sean,Other/Metro,Grosse Pointe,Michigan,48230,1,1,2026-06-03,43,Unknown
One Health Community Care,Primary Care,T3,Sean,Other/Metro,Detroit,Michigan,48219,1,6,2026-02-24,142,Unknown
"Samarian MD, Bruce",Primary Care,T3,Sean,Southfield,Berkley,Michigan,480722100,1,1,2026-03-23,115,Unknown
Southeastern Michigan Medical Consultants,Primary Care,T3,Sean,Other/Metro,Grosse Pointe Woods,Michigan,48236,1,1,2026-02-18,148,Unknown
Sunrise Urgent Care,Urgent Care,T3,Sean,Sterling Heights,Warren,Michigan,48092,1,0,2026-04-16,91,Unknown
Concentra Urgent Care - Troy,Urgent Care,T3,,Troy,Troy,Michigan,48083,1,0,2026-02-11,155,Unknown
IHA Urgent Care - Hamburg,Urgent Care,T3,,Other/Metro,Hamburg,Michigan,48139,1,0,2026-02-11,155,Unknown
True Health Urgent Care- Closed,Urgent Care,T3,,Livonia,Farmington,Michigan,48334,1,1,2026-01-27,170,Unknown
ATI - Corporate,Physical Therapy,T3,Kristen,Other/Metro,Ann Arbor,Michigan,48103,0,0,2025-10-16,273,Unknown
Baldwin Family Medical Center,Primary Care,T3,Kristen,Other/Metro,Pontiac,Michigan,48340,0,0,2025-11-24,234,Unknown
"Fletcher, Fealko, Shoudy and Francis",Attorney (WC/PI),T3,Kristen,Port Huron,Port Huron,Michigan,48060,0,0,2025-09-10,309,Unknown
Harvey Ager MD,Primary Care,T3,Kristen,Southfield,Southfield,Michigan,48034,0,0,2025-02-24,507,Unknown
Honor Community Health,Primary Care,T3,Kristen,Other/Metro,Pontiac,MI,48341,0,0,2025-11-24,234,Unknown
"Malaczynski MD, Jadwiga",Primary Care,T3,Kristen,Other/Metro,Hamtramck,MI,482122783,0,0,2025-04-03,469,Unknown
METRO MEDICAL PRACTICE,Primary Care,T3,Kristen,Other/Metro,HAMTRAMCK,MI,48212,0,0,2024-09-16,668,Unknown
My Health Urgent Care (Ascension) - Bloomfield Hills,Urgent Care,T3,Kristen,Other/Metro,Bloomfield Hills,MI,48302-0241,0,0,2025-05-14,428,Unknown
PONTIAC VA OUTPATIENT CLINIC,Primary Care,T3,Kristen,Other/Metro,Pontiac,Michigan,48341,0,0,2025-11-24,234,Unknown
"Rowling, Partipilo and Winston Law",Attorney (WC/PI),T3,Kristen,Port Huron,Port Huron,Michigan,48060,0,0,2025-12-30,198,Unknown
Sierra Medical Associates,Primary Care,T3,Kristen,Other/Metro,Grosse Pointe Park,Michigan,48230,0,0,2025-11-05,253,Unknown
Silver Pine Medical Group Hall Rd,Primary Care,T3,Kristen,Sterling Heights,Macomb,Michigan,48044,0,0,2025-12-05,223,Unknown
"SUPERIOR FAMILY MEDICINE CLINIC, PC",Primary Care,T3,Kristen,Southfield,SOUTHFIELD,MI,48076,0,0,2024-08-28,687,Unknown
THE WELLNESS PLAN PONTIAC MEDICAL CENTER,Primary Care,T3,Kristen,Other/Metro,PONTIAC,Michigan,48342,0,0,2025-11-24,234,Unknown
Total Urgent Care - Romeo,Urgent Care,T3,Kristen,Other/Metro,,Michigan,48065,0,0,,,Unknown
TRINITY HEALTH HENDERSON ACADEMIC PRIMARY CARE,Primary Care,T3,Kristen,Other/Metro,PONTIAC,Michigan,MI 48341,0,0,2025-11-24,234,Unknown
University Physicians Group - Grosse Pointe,Primary Care,T3,Kristen,Other/Metro,Grosse Pointe,Michigan,48230,0,0,2024-11-18,605,Unknown
Village Medical 7 Mile - Northville,Primary Care,T3,Kristen,Other/Metro,Northville,Michigan,48167,0,0,2024-11-19,604,Unknown
WAYNE STATE UNIVERSITY PHYSICIAN GROUP FAMILY MEDICINE,Primary Care,T3,Kristen,Southfield,SOUTHFIELD,Michigan,,0,0,2025-07-31,350,Unknown
"CHILD AND ADOLESCENT CENTER, PC",Orthopedics,T3,Jasmine,Other/Metro,Southgate,Michigan,48195,0,0,2025-12-02,226,Unknown
Closed-BEAUMONT BOTSFORD FAMILY MEDICINE CENTER NOVI,Primary Care,T3,Jasmine,Livonia,NOVI,MI,48377,0,0,2025-01-06,556,Unknown
Daisy Angeles MD (unknown),Primary Care,T3,Jasmine,Livonia,Dearborn,Michigan,48124,0,0,2025-12-18,210,Unknown
Hegira Health,Primary Care,T3,Jasmine,Other/Metro,Lincoln Park,Michigan,48146,0,0,2025-10-17,272,Unknown
Henry Ford macomb – Oakland,Primary Care,T3,Jasmine,Other/Metro,Madison Heights,Michigan,48071,0,0,2025-11-05,253,Unknown
"Hollander DO, Gary (Duplicate?)",Primary Care,T3,Jasmine,Other/Metro,Walled Lake,MI,483903443,0,0,2025-10-20,269,Unknown
MI Express Care-Brighton,Urgent Care,T3,Jasmine,Other/Metro,Brighton,Michigan,48116,0,0,,,Unknown
"TERRY D HOWELL, MD, PC",Primary Care,T3,Jasmine,Other/Metro,SALINE,MI,48176,0,0,2025-10-20,269,Unknown
Trinity health urgent care,Urgent Care,T3,Jasmine,Livonia,Livonia,Michigan,48152,0,0,,,Unknown
UNIVERSITY OF MICHIGAN SALINE HEALTH CENTER,Primary Care,T3,Jasmine,Other/Metro,SALINE,MI,48176,0,0,2025-10-20,269,Unknown
Village Medical - Walled Lake,Primary Care,T3,Jasmine,Other/Metro,Walled Lake,Michigan,48390,0,0,2025-12-12,216,Unknown
Western Wayne Lincoln Park,Primary Care,T3,Jasmine,Other/Metro,Lincoln Park,Michigan,48146,0,0,2025-10-17,272,Unknown
Ypsilanti Health Center (UofM),Primary Care,T3,Jasmine,Other/Metro,Ypsilanti,MI,48198,0,0,2025-04-16,456,Unknown
- RELOCATED Macomb Family Medicine (Ascension),Primary Care,T3,Coty,Sterling Heights,Macomb,Michigan,48044,0,0,2025-06-10,401,Unknown
1st Choice Urgent Care - Warren,Urgent Care,T3,Coty,Sterling Heights,Warren,Michigan,48089,0,0,2025-05-22,420,Unknown
Adult Wellness & Internal Medicine,Primary Care,T3,Coty,Other/Metro,Flint,Michigan,48507,0,0,2025-02-04,527,Unknown
Advance Urgent Care - Hartland,Urgent Care,T3,Coty,Other/Metro,Hartland,Michigan,48353,0,0,2025-04-29,443,Unknown
Advanced Orthopedic Specialists,Orthopedics,T3,Coty,Other/Metro,Brighton,Michigan,48114,0,0,2025-03-31,472,Unknown
Advanced Physcl Therapy Ctr PC,Physical Therapy,T3,Coty,Other/Metro,Hartland,MI,48353-2702,0,0,2023-05-04,1169,Unknown
Advanced Physcl Therapy Ctr PC,Physical Therapy,T3,Coty,Other/Metro,Clarkston,MI,48346-2070,0,0,2023-05-25,1148,Unknown
"AIRPORT FAMILY PHYSICIANS, LLC",Primary Care,T3,Coty,Other/Metro,WATERFORD,Michigan,48327,0,0,2025-07-02,379,Unknown
Algonac Family Practice,Primary Care,T3,Coty,Other/Metro,Algonac,Michigan,48001,0,0,2024-01-08,920,Unknown
Alliance - Chesterfield,Primary Care,T3,Coty,Other/Metro,Chesterfield,Michigan,48047,0,0,2025-04-14,458,Unknown
Alliance Mount Clemens,Primary Care,T3,Coty,Other/Metro,Mount Clemens,Michigan,48043,0,0,2025-02-20,511,Unknown
Arora Hand Surgery - Macomb,Orthopedics,T3,Coty,Sterling Heights,Macomb,Michigan,48044,0,0,2025-09-11,308,Unknown
Arora Hand Surgery - Warren,Orthopedics,T3,Coty,Sterling Heights,Warren,Michigan,48088,0,0,2025-03-06,497,Unknown
"ARTHRITIS CONSULTANTS, PC",Rheumatology,T3,Coty,Livonia,Livonia,Michigan,48154,0,0,2025-01-20,542,Unknown
ARTHRITIS INSTITUTE OF MICHIGAN,Rheumatology,T3,Coty,Other/Metro,Brighton,Michigan,48116,0,0,2025-04-22,450,Unknown
Ascension Macomb-Oakland Orthopedics & Sports Medicine,Orthopedics,T3,Coty,Sterling Heights,Warren,Michigan,48093,0,0,2024-04-02,835,Unknown
ASCENSION MEDICAL GROUP GENESYS,Orthopedics,T3,Coty,Other/Metro,CLARKSTON,Michigan,,0,0,2024-09-23,661,Unknown
Ascension Medical Group Genesys - Holly,Primary Care,T3,Coty,Other/Metro,Holly,Michigan,48442,0,0,2023-06-06,1136,Unknown
Ascension Rehabilitation,Physical Therapy,T3,Coty,Other/Metro,,,,0,0,,,Unknown
Ascent Urgent Care - Howell,Urgent Care,T3,Coty,Other/Metro,Howell,MI,48843,0,0,2025-04-29,443,Unknown
"Ashkenazi MD, Maya",Primary Care,T3,Coty,Other/Metro,St Clair Shores,MI,480801965,0,0,2023-04-18,1185,Unknown
Atchoo Medical Practice,Primary Care,T3,Coty,Other/Metro,Waterford Township,Michigan,48328,0,0,2025-04-29,443,Unknown
Athletico PT - Warren,Physical Therapy,T3,Coty,Sterling Heights,Warren,Michigan,48092,0,0,2023-06-19,1123,Unknown
BEAUMONT ORTHOPEDIC INSTITUTE,Orthopedics,T3,Coty,Southfield,ROYAL OAK,MI,48073,0,0,2025-01-13,549,Unknown
BEAUMONT ORTHOPEDIC ONCOLOGY ROYAL OAK,Orthopedics,T3,Coty,Southfield,ROYAL OAK,MI,48073,0,0,2024-04-04,833,Unknown
"Berland MD, Daniel William",Primary Care,T3,Coty,Other/Metro,Ann Arbor,MI,481095352,0,0,2023-07-19,1093,Unknown
Beyond Primary Care,Primary Care,T3,Coty,Other/Metro,Ann Arbor,Michigan,48103,0,0,2025-08-27,323,Unknown
"BINING AND DAS, MEDICAL GROUP",Primary Care,T3,Coty,Other/Metro,SOUTHGATE,MI,48195,0,0,2025-09-19,300,Unknown
"Bishai DO, Shariff K",Orthopedics,T3,Coty,Other/Metro,St Clair Shores,MI,480803207,0,0,2025-09-03,316,Unknown
Blue Water Urgent Care Clinic,Urgent Care,T3,Coty,Other/Metro,Algonac,MI,48001,0,0,2024-01-08,920,Unknown
Bluesky Medical Clinic,Primary Care,T3,Coty,Other/Metro,Howell,Michigan,48855,0,0,2025-06-30,381,Unknown
Bone & Joint Specialists,Orthopedics,T3,Coty,Troy,Rochester Hills,Michigan,48307,0,0,2025-05-05,437,Unknown
Capital Internal Medicine Associates,Primary Care,T3,Coty,Other/Metro,Lansing,Michigan,48911,0,0,2023-08-16,1065,Unknown
CCMC - Howell,Primary Care,T3,Coty,Other/Metro,Howell,Michigan,48843,0,0,2025-08-21,329,Unknown
Center For Spt Medicine Fitnes,Sports Medicine,T3,Coty,Other/Metro,Ypsilanti,MI,48197-0862,0,0,2023-02-21,1241,Unknown
Central Michigan University Athletic Training,Sports Medicine,T3,Coty,Other/Metro,,,,0,0,,,Unknown
Chelsea Family Practice (UofM),Primary Care,T3,Coty,Other/Metro,Chelsea,Michigan,48118,0,0,2025-08-26,324,Unknown
Child & Adult Medicine of Grand Blanc,Primary Care,T3,Coty,Other/Metro,Grand Blanc,Michigan,48439,0,0,2025-04-15,457,Unknown
"Clay, Michael",Primary Care,T3,Coty,Other/Metro,Ann Arbor,MI,48105,0,0,2025-08-27,323,Unknown
Clearwater Family Medicine - Campground closed,Primary Care,T3,Coty,Other/Metro,Washington,Michigan,48094,0,0,2025-07-16,365,Unknown
Clegg & Guest,Physical Therapy,T3,Coty,Sterling Heights,Sterling Heights,MI,48312-4258,0,0,2024-02-16,881,Unknown
"CLOSED  Herbert Isaac, MD",Primary Care,T3,Coty,Other/Metro,Pontiac,MI,48342,0,0,2025-02-25,506,Unknown
Closed - MCLAREN OAKLAND WATERFORD FAMILY MEDICINE,Primary Care,T3,Coty,Other/Metro,WATERFORD,MI,48328,0,0,2024-10-01,653,Unknown
CLOSED - ROCHESTER MEDICAL ORTHOPEDIC,Orthopedics,T3,Coty,Other/Metro,MADISON HEIGHTS,MI,48071,0,0,2024-04-02,835,Unknown
CLOSED Madison Associates,Primary Care,T3,Coty,Sterling Heights,Warren,MI,48092,0,0,2025-02-20,511,Unknown
Closed- ASCENSION MEDICAL GROUP CENTER FOR HAND AND NECK MAXILLOFACIAL AND RECONSTRUCTIV,Orthopedics,T3,Coty,Sterling Heights,WARREN,MI,48093,0,0,2024-04-02,835,Unknown
Closed- OAKLAND MACOMB INTERNAL MEDICINE,Primary Care,T3,Coty,Troy,ROCHESTER,MI,48307,0,0,2024-04-17,820,Unknown
CLOSED-ASCENSION MEDICAL GROUP GREATER MACK PRIMARY CARE,Primary Care,T3,Coty,Other/Metro,SAINT CLAIR SHORES,MI,48080,0,0,2024-04-16,821,Unknown
Closed-Barclay Physical Therapy Inc,Physical Therapy,T3,Coty,Troy,Rochester Hills,MI,48307-4574,0,0,2023-08-10,1071,Unknown
CLOSED-HILL ORTHOPEDICS,Orthopedics,T3,Coty,Sterling Heights,WARREN,MI,48093,0,0,2024-04-02,835,Unknown
Community First Health Center - Algonac,Primary Care,T3,Coty,Other/Metro,Algonac,Michigan,48001,0,0,2024-01-08,920,Unknown
Complete Care Rehab,Physical Therapy,T3,Coty,Sterling Heights,Warren,MI,48089-1190,0,0,2023-06-19,1123,Unknown
Complete Rehabilitation Inc,Physical Therapy,T3,Coty,Troy,Troy,MI,48084-7010,0,0,2023-12-14,945,Unknown
Concentra Urgent Care - Chesterfield,Urgent Care,T3,Coty,Other/Metro,New Baltimore,Michigan,48051,0,0,2025-08-28,322,Unknown
Core Institute - Howell,Orthopedics,T3,Coty,Other/Metro,Howell,Michigan,48843,0,0,2023-12-26,933,Unknown
Corewell Health Family Medicine Parkside,Primary Care,T3,Coty,Other/Metro,Oxford,MI,48371,0,0,2025-04-10,462,Unknown
Cornerstone Internal Medicine,Primary Care,T3,Coty,Sterling Heights,Macomb,Michigan,48044,0,0,2025-09-11,308,Unknown
Daia Orthodontics & TMJ Orthopedics,Orthopedics,T3,Coty,Troy,Rochester Hills,Michigan,48307,0,0,2024-02-22,875,Unknown
"DEVYANI KHAMBETE, MD, PC",Orthopedics,T3,Coty,Other/Metro,WATERFORD,Michigan,,0,0,2025-06-06,405,Unknown
DMC Ob-Gyn & Family Medicine  - Hartland,Primary Care,T3,Coty,Other/Metro,Hartland,Michigan,48353,0,0,2025-05-09,433,Unknown
DR MO PEDIATRIC CENTER,Orthopedics,T3,Coty,Other/Metro,BRIGHTON,Michigan,,0,0,2025-06-05,406,Unknown
"Dr. Vellore R. Ramakrishnan, MD",Orthopedics,T3,Coty,Livonia,Livonia,Michigan,48154,0,0,2025-06-13,398,Unknown
"Dussan MD, Kathleen",Primary Care,T3,Coty,Other/Metro,Ann Arbor,MI,48105,0,0,2025-08-27,323,Unknown
Eastern Michigan University Athletic Training,Sports Medicine,T3,Coty,Other/Metro,,,,0,0,,,Unknown
Eaton Rapids Medical Center Family Practice,Primary Care,T3,Coty,Other/Metro,Eaton Rapids,Michigan,48827,0,0,2024-01-19,909,Unknown
Edison Health Care Associates,Primary Care,T3,Coty,Southfield,Southfield,MI,48034,0,0,2025-05-27,415,Unknown
Edward G Seoane MD,Primary Care,T3,Coty,Other/Metro,Flint Township,Michigan,48532,0,0,2023-05-18,1155,Unknown
Elle MD,Primary Care,T3,Coty,Southfield,Royal Oak,Michigan,48067,0,0,2025-09-25,294,Unknown
Emergency Physicians Medical Group,ER,T3,Coty,Other/Metro,Ann Arbor,MI,48105,0,0,2023-09-05,1045,Unknown
Epic Health - Flint,Primary Care,T3,Coty,Other/Metro,Flint,Michigan,48507,0,0,2025-04-02,470,Unknown
Epic Health Livernois,Primary Care,T3,Coty,Other/Metro,Detroit,Michigan,48221,0,0,,,Unknown
Epic Medical Center,Primary Care,T3,Coty,Other/Metro,Southgate,Michigan,48195,0,0,2025-07-11,370,Unknown
EPIC MEDICAL CENTER,Primary Care,T3,Coty,Other/Metro,SOUTHGATE,MI,48195,0,0,2025-01-22,540,Unknown
"ESA ALI, MD, MEDICAL GROUP",Primary Care,T3,Coty,Other/Metro,WATERFORD,MI,48328,0,0,2025-10-28,261,Unknown
FAMILY FIRST HEALTHCARE ARMADA,Primary Care,T3,Coty,Other/Metro,ARMADA,MI,48005,0,0,2025-09-04,315,Unknown
Fenton Community Medical Center,Primary Care,T3,Coty,Other/Metro,Fenton,Michigan,48430,0,0,2023-06-06,1136,Unknown
Fenton Family Medicine,Primary Care,T3,Coty,Other/Metro,Fenton,Michigan,48430,0,0,2023-06-06,1136,Unknown
Flushing Road Internal Medicine and Pediatric Clinic,Primary Care,T3,Coty,Other/Metro,Flint,MI,48504,0,0,2023-08-08,1073,Unknown
Fyzical Therapy - Waterford,Physical Therapy,T3,Coty,Other/Metro,Waterford,MI,48328-2162,0,0,2023-05-04,1169,Unknown
Genesys Integrated Group Practice,Primary Care,T3,Coty,Other/Metro,Flint,MI,48532,0,0,2023-08-16,1065,Unknown
Genesys PHO - Grand Blanc,Primary Care,T3,Coty,Other/Metro,Grand Blanc,MI,48439,0,0,2023-05-17,1156,Unknown
"Ghioto DO, Jeffrey D",Primary Care,T3,Coty,Livonia,Westland,MI,48185,0,0,2025-05-29,413,Unknown
Glennan Medical Group - Henry Ford,Primary Care,T3,Coty,Other/Metro,Oxford,MI,48371-6421,0,0,2025-04-10,462,Unknown
GoHealth Urgent Care (Henry Ford) - Chesterfield,Urgent Care,T3,Coty,Other/Metro,Chesterfield,Michigan,48047,0,0,2025-04-14,458,Unknown
Grand Valley State University Sports Medicine,Sports Medicine,T3,Coty,Other/Metro,,,,0,0,,,Unknown
Greater Michigan Orthopedics,Orthopedics,T3,Coty,Other/Metro,Grand Blanc Township,Michigan,48439,0,0,2025-05-05,437,Unknown
"Gren DO, Ronald Edmund",Orthopedics,T3,Coty,Other/Metro,Northville,MI,48167,0,0,2025-10-01,288,Unknown
HarmonyCares Medical Group - Ann Arbor,Primary Care,T3,Coty,Other/Metro,Ann Arbor,MI,481082360,0,0,2025-08-27,323,Unknown
Harper Clinic,Primary Care,T3,Coty,Other/Metro,Harper Woods,Michigan,48225,0,0,2025-08-01,349,Unknown
Harper Family Practice,Primary Care,T3,Coty,Other/Metro,Saint Clair Shores,MI,48080,0,0,2025-07-31,350,Unknown
Harper medical building,Orthopedics,T3,Coty,Other/Metro,St. Clair Shores,Michigan,48082,0,0,2024-07-24,722,Unknown
Hartland Family Physicians,Primary Care,T3,Coty,Other/Metro,Hartland,Michigan,48353,0,0,2025-05-09,433,Unknown
Hartland Medicine,Primary Care,T3,Coty,Other/Metro,Hartland,Michigan,48353,0,0,2025-05-21,421,Unknown
HARTLAND PEDIATRICS,Orthopedics,T3,Coty,Other/Metro,HARTLAND,Michigan,,0,0,2025-06-05,406,Unknown
Hayner Internal Medicine,Primary Care,T3,Coty,Other/Metro,Howell,Michigan,48843,0,0,2025-07-25,356,Unknown
Health Cure Rehabilitation,Physical Therapy,T3,Coty,Sterling Heights,Warren,MI,48091-2795,0,0,2024-01-10,918,Unknown
Healthquest Physical Therapy,Physical Therapy,T3,Coty,Other/Metro,Clarkston,MI,48346-1526,0,0,2023-04-04,1199,Unknown
Healthy Urgent Care - New Hudson,Urgent Care,T3,Coty,Other/Metro,New Hudson,MI,48165,0,0,2025-10-02,287,Unknown
Hend Aljundi MD,Primary Care,T3,Coty,Other/Metro,Waterford,Michigan,48327,0,0,2025-04-29,443,Unknown
Henry Ford Kingswood Hospital,Primary Care,T3,Coty,Southfield,Ferndale,Michigan,48220,0,0,2025-06-11,400,Unknown
Henry Ford Macomb Orthopedic Surgery - Washington,Orthopedics,T3,Coty,Other/Metro,Washington,Michigan,48095,0,0,2025-07-16,365,Unknown
Henry Ford Macomb Orthopedics,Orthopedics,T3,Coty,Sterling Heights,Clinton Township,Michigan,48038,0,0,2023-07-07,1105,Unknown
Henry Ford Macomb Orthopedics - Chesterfield,Orthopedics,T3,Coty,Other/Metro,Chesterfield,Michigan,48047,0,0,2025-04-14,458,Unknown
Henry Ford Medical Center - Livonia,Primary Care,T3,Coty,Livonia,Livonia,MI,48150,0,0,2024-12-31,562,Unknown
Henry Ford Medical Center - Royal Oak Internal Medicine,Primary Care,T3,Coty,Southfield,Royal Oak,Michigan,48067,0,0,2025-05-08,434,Unknown
Henry Ford Medical Center - Royal Oak Sports Medicine,Sports Medicine,T3,Coty,Southfield,Royal Oak,Michigan,48067,0,0,2025-05-08,434,Unknown
Henry Ford Medical Center - Sterling Heights,Primary Care,T3,Coty,Sterling Heights,Sterling Heights,Michigan,48310,0,0,2025-07-01,380,Unknown
Henry Ford Medical Center - Troy,Primary Care,T3,Coty,Troy,Troy,Michigan,48083,0,0,2025-03-14,489,Unknown
Highland Milford Family Clinic,Primary Care,T3,Coty,Other/Metro,Highland,MI,48357,0,0,2025-05-21,421,Unknown
Holistic Healing Center Mich,Physical Therapy,T3,Coty,Troy,Troy,MI,48084-4400,0,0,2023-12-11,948,Unknown
Holly Urgent Care,Urgent Care,T3,Coty,Other/Metro,Holly,Michigan,48442,0,0,2023-08-31,1050,Unknown
Hurley Internal Medicine,Primary Care,T3,Coty,Other/Metro,Flint,Michigan,48503,0,0,2023-10-24,996,Unknown
IHA Ann Arbor Orthpaedic Specialists,Orthopedics,T3,Coty,Other/Metro,Ypsilanti,Michigan,48197,0,0,2025-09-22,297,Unknown
IHA Hand Surgery - Brighton,Orthopedics,T3,Coty,Other/Metro,BRIGHTON,MI,48114,0,0,2025-05-02,440,Unknown
IHA Urgent Care  - Howell,Urgent Care,T3,Coty,Other/Metro,Howell,Michigan,48843,0,0,2025-05-09,433,Unknown
IHA Urgent Care - East Brighton,Urgent Care,T3,Coty,Other/Metro,Brighton,Michigan,48116,0,0,2023-06-13,1129,Unknown
IHA Urgent Care - Waterford,Urgent Care,T3,Coty,Other/Metro,Waterford Township,Michigan,48328,0,0,2025-10-28,261,Unknown
Internal Medicine Health Center,Primary Care,T3,Coty,Other/Metro,Flint,Michigan,48507,0,0,2025-05-01,441,Unknown
James Bauer MD,Primary Care,T3,Coty,Other/Metro,Orion Township,Michigan,48360,0,0,2025-04-10,462,Unknown
James Gibson MD,Primary Care,T3,Coty,Other/Metro,Waterford Township,Michigan,48327,0,0,2025-04-29,443,Unknown
Joel Wellness Clinic,Primary Care,T3,Coty,Other/Metro,Ann Arbor,Michigan,48108,0,0,2025-06-04,407,Unknown
John Vassallo MD - Brighton,Primary Care,T3,Coty,Other/Metro,BRIGHTON,MI,48114,0,0,2025-04-22,450,Unknown
John Vassallo MD -Howell,Primary Care,T3,Coty,Other/Metro,Howell,Michigan,48843,0,0,2025-07-25,356,Unknown
Judson Center Family Health,Primary Care,T3,Coty,Sterling Heights,Warren,Michigan,48093,0,0,2025-06-02,409,Unknown
"KAISER MEDICAL CENTER, PC",Primary Care,T3,Coty,Sterling Heights,WARREN,MI,48093,0,0,2025-05-22,420,Unknown
Katherine Naber DO,Primary Care,T3,Coty,Other/Metro,Grand Blanc,Michigan,48439,0,0,2025-04-23,449,Unknown
Kathleen Knapp DO,Orthopedics,T3,Coty,Other/Metro,Howell,Michigan,48843,0,0,2025-04-25,447,Unknown
Kenneth Kulik MD,Primary Care,T3,Coty,Troy,Troy,MI,48085,0,0,2023-07-20,1092,Unknown
"Kia, Shull, & Youngs Family Prwctice",Primary Care,T3,Coty,Other/Metro,Grand Blanc,Michigan,48439,0,0,2025-05-01,441,Unknown
Kiwi PT,Physical Therapy,T3,Coty,Other/Metro,Highland,MI,48357-4982,0,0,2023-05-03,1170,Unknown
"LAKELAND PHYSICIANS GROUP, PC",Primary Care,T3,Coty,Other/Metro,WATERFORD,MI,48328,0,0,2024-10-01,653,Unknown
Lakeside Medical,Primary Care,T3,Coty,Other/Metro,Oxford,Michigan,48371,0,0,2025-04-10,462,Unknown
