Company,MMC Company ID,Current PL,Owner Name,MMC Groups,Referral Evidence Band,Match Status,Match Method(s),Matched Referral Source(s),Matched Source Rows,2026 Spine Patients,2026 Ortho Patients,2026 Other Patients,2026 Total B2B Patients,First B2B Appointment,Last B2B Appointment,Last Spine Appointment,Prior Visit Before Reference Patient,Latest Visit-to-First-Appt Lag Days,Median Visit-to-First-Appt Lag,Patients 0–30 Days,Patients 31–60 Days,Patients 61–90 Days,Patients 91+ Days,Patients Without Prior MMC Visit,Referral Production Points,Referral Data Cutoff
Yale Community Heath Center - VA Clinic,ef22f4d0-c253-4bff-8a60-2a5eaa3168df,Kristen,Kristen Jones,Kristen Strategic Account;Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name; Reviewed source alias,"Brosius NP, Laura; Deters PA, Tara; Deters PA-C, Tara; Mariutza NP, Melissa; Parslow PA, Michael; Richards PA-C, Carolyn; Yale VA",22,1,21,0,22,2026-01-08 00:00:00,2026-07-08 00:00:00,2026-06-30 00:00:00,2026-06-09 00:00:00,29,14.5,17,4,1,0,0,61,2026-07-10 00:00:00
Physician HealthCare Network Urgent Care and Walk In- Fort Gratiot,4c053f65-6667-471a-9d5b-ee08b564d031,Kristen,Kristen Jones,Kristen Strategic Account;Internal Medicine/PCP;Urgent Cares,One Spine Patient,Deterministically matched,Exact provider name; Unique provider first + last,"BORGIEL MD, CHRISTOPHER; Hill PA-C, Stacie; Naqvi MD, Farrukh Zaman; Souphis DO, Daniel C; Souphis, Daniel C",15,1,14,0,15,2026-01-08 00:00:00,2026-06-18 00:00:00,2026-06-08 00:00:00,2026-05-05 00:00:00,44,21,11,3,1,0,0,61,2026-07-10 00:00:00
Macomb Medical Clinic,1992782320,Coty,Coty Oetjens,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact company name; Exact provider name; Unique provider first + last,"GIANCOLA PA, DAVID; Kurjakovic PA-C, Amar; MONTICCIOLO PA C, JILLIAN; Macomb Medical Clinic; Rosenberg DO, Mark S; TOBIA PA, BROOKE",12,1,10,1,12,2026-01-07 00:00:00,2026-07-09 00:00:00,2026-04-13 00:00:00,2026-07-02 00:00:00,7,22.5,8,4,0,0,0,61,2026-07-10 00:00:00
Brentwood Pediatric Associates,9dfbaa38-07b2-4017-9d71-ff4cd2ce42f7,Kristen,Kristen Jones,Pediatrician,One Spine Patient,Deterministically matched,Exact provider name; Unique provider first + last,"Bazzy DO, Hassan; Godbole MD, Ajey V",11,1,9,1,11,2026-02-25 00:00:00,2026-07-09 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00,9,46,4,4,3,0,0,61,2026-07-10 00:00:00
Macomb Physicians Group,fdefbf3e-907d-4d68-bbd3-2d70f4818b7a,Coty,Coty Oetjens,Neurology;Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name; Unique provider first + last,"Diora MD, Gordhan; Diora, Gordhan; KONERU MD, LALITHA; Stephen MD, Mark; Stephen MD, Mark  H",9,1,8,0,9,2026-01-09 00:00:00,2026-07-07 00:00:00,2026-04-29 00:00:00,2026-07-02 00:00:00,5,27,7,2,0,0,0,61,2026-07-10 00:00:00
Mitchell Medical Center,3a600778-0104-4e04-b9d4-feb46e567bd7,Kristen,Kristen Jones,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Unique provider first + last,"BLACKWELL PA, KATHERINE",8,1,5,2,8,2026-01-21 00:00:00,2026-06-04 00:00:00,2026-05-12 00:00:00,2026-03-12 00:00:00,84,41.5,3,3,2,0,0,61,2026-07-10 00:00:00
"FERRIS, MARY C, MEDICAL GROUP",a5a045ce-889d-4018-81f5-3fd8d3d7af6b,Kristen,Kristen Jones,Kristen Strategic Account;Internal Medicine/PCP,One Spine Patient,Deterministically matched,Unique provider first + last,"Ferris DO, Mary C",7,1,6,0,7,2026-01-26 00:00:00,2026-07-09 00:00:00,2026-03-19 00:00:00,2026-04-30 00:00:00,70,52,1,4,2,0,0,61,2026-07-10 00:00:00
Office of Steven Trombly MD,1407867815,Coty,Coty Oetjens,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Unique provider first + last,"Trombly MD, Steven D",7,1,6,0,7,2026-01-07 00:00:00,2026-06-29 00:00:00,2026-04-14 00:00:00,2026-03-11 00:00:00,110,61,1,2,2,2,0,61,2026-07-10 00:00:00
Port Huron Medicine Associates,1245235654,Kristen,Kristen Jones,Kristen Strategic Account;Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name,"Ashley Richardson, PA-C; Canto MD, Cheryl",6,1,5,0,6,2026-01-06 00:00:00,2026-05-20 00:00:00,2026-01-27 00:00:00,2026-04-07 00:00:00,43,26,4,2,0,0,0,61,2026-07-10 00:00:00
Providence Park Pediatrics - Novi,9db7de95-514d-45c7-8a73-449a08d1d590,Kristen,Kristen Jones,Pediatrician,One Spine Patient,Deterministically matched,Exact provider name + referral PL owner; Unique provider first + last,"GAIND MD, MALA; Hoisington MD, Melissa; Kendall MD, Ada; Levy MD, Lili; Newcombe MD, Marcia J",6,1,5,0,6,2026-01-29 00:00:00,2026-05-11 00:00:00,2026-01-29 00:00:00,2026-03-20 00:00:00,52,31.5,3,3,0,0,0,61,2026-07-10 00:00:00
BEAUMONT FAMILY MEDICINE BELLEVILLE,61a031d7-889d-4b90-8391-8647f4be87ec,Jasmine,Jasmine Jones,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name; Unique provider first + last,"Szaraz MD, David Julian; Yi MD, Chin",5,1,3,1,5,2026-04-27 00:00:00,2026-05-18 00:00:00,2026-05-07 00:00:00,2026-03-09 00:00:00,70,59,0,3,2,0,0,61,2026-07-10 00:00:00
Eastpointe Family Physicians,1578685921,Jasmine,Jasmine Jones,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name,"Pope DO, Haley; ZINKE FNP BC, ANDREA",5,1,2,1,4,2026-01-29 00:00:00,2026-05-15 00:00:00,2026-03-31 00:00:00,2026-05-12 00:00:00,3,22,4,0,0,0,0,61,2026-07-10 00:00:00
Epic Primary Care - Ferndale,8d70ed21-9cc0-4e04-a934-e01ab1155823,Coty,Coty Oetjens,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name; Unique provider first + last + referral PL owner,"Naman MD, Greg S; Tam DO, Susan",4,1,3,0,4,2026-02-20 00:00:00,2026-05-05 00:00:00,2026-04-10 00:00:00,2026-02-19 00:00:00,75,50,1,2,1,0,0,61,2026-07-10 00:00:00
EPIC Southfield - Telegraph Rd office,e9338159-c4f0-4329-a188-50fd3d8a5ddb,Coty,Coty Oetjens,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name,"Webster PAC, Shannon",4,1,3,0,4,2026-03-26 00:00:00,2026-07-09 00:00:00,2026-03-26 00:00:00,2026-05-28 00:00:00,42,46.5,1,2,1,0,0,61,2026-07-10 00:00:00
"FAMILY CARE CENTER OF HAMTRAMCK, PC",f4a7f5a0-d8e0-49ff-874a-04f12057fc5f,Kristen,Kristen Jones,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name,"Sharma MD, Bhupesh; Sharma MD, Meenakshi",4,1,3,0,4,2026-03-20 00:00:00,2026-06-23 00:00:00,2026-04-23 00:00:00,2026-05-19 00:00:00,35,29,2,2,0,0,0,61,2026-07-10 00:00:00
Henry Ford Macomb Internal Medicine,1841213436,Coty,Coty Oetjens,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name; Unique provider first + last,"Bochenek DO, John C; Doyle DO, Katherine",4,1,3,0,4,2026-01-27 00:00:00,2026-03-26 00:00:00,2026-03-25 00:00:00,2026-01-23 00:00:00,62,44.5,2,0,2,0,0,61,2026-07-10 00:00:00
Henry Ford Warren Family Physicians,6771a475-3022-40fd-9db9-b8e0291f7082,Kristen,Kristen Jones,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name,"Colvin MD, Randall; Panozzo DO, Kristen; Rizk MD, Nabil",4,1,2,1,4,2026-01-20 00:00:00,2026-05-08 00:00:00,2026-02-27 00:00:00,2026-04-30 00:00:00,8,44,2,0,2,0,0,61,2026-07-10 00:00:00
Northpointe Pediatrics,31b0544c-cc2c-4479-9df9-b11748ecefc7,Kristen,Kristen Jones,Pediatrician,One Spine Patient,Deterministically matched,Exact provider name; Unique provider first + last,"Denysenko DO, Deanna; Engel MD, Allison; Francis MD, Peter J",4,1,3,0,4,2026-01-20 00:00:00,2026-03-04 00:00:00,2026-01-20 00:00:00,2026-02-02 00:00:00,30,46.5,2,0,2,0,0,61,2026-07-10 00:00:00
A1 Family Medicine,b1a9167c-0bb6-47bd-b50a-ff18a973875f,Jasmine,Jasmine Jones,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name,"Dharia MD, Purvi",3,1,2,0,3,2026-02-03 00:00:00,2026-06-30 00:00:00,2026-06-16 00:00:00,2026-04-17 00:00:00,74,60,0,2,1,0,0,61,2026-07-10 00:00:00
"AGHA INTERNAL MEDICINE AND ASSOCIATES, PC",85fd21cb-8cbc-4ead-9b3d-0cdbecdf7638,Kristen,Kristen Jones,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Unique provider first + last,"Agha MD, Hooman",3,1,2,0,3,2026-01-22 00:00:00,2026-06-08 00:00:00,2026-03-16 00:00:00,2026-04-24 00:00:00,45,49,0,2,1,0,0,61,2026-07-10 00:00:00
Berkley Urgent Care,1774d7c7-2d8b-42c6-9dac-78c2a9cf3ed8,Sean,Sean Sweeney,Urgent care,One Spine Patient,Deterministically matched,Exact company name,Berkley Urgent Care,3,1,1,1,3,2026-04-23 00:00:00,2026-05-21 00:00:00,2026-04-23 00:00:00,2026-03-23 00:00:00,59,31,0,3,0,0,0,61,2026-07-10 00:00:00
Corewell Health Wayne Hospital Family Medicine -  Canton,1022591b-a2f2-47ed-a718-e764042f930d,Jasmine,Jasmine Jones,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name,"Choucair DO, Iman; Raza MD, Mushahid; Raza, Mushahid",3,1,1,1,3,2026-03-18 00:00:00,2026-05-29 00:00:00,2026-03-18 00:00:00,2026-03-30 00:00:00,60,23,2,1,0,0,0,61,2026-07-10 00:00:00
"DEARBORN FAMILY CLINIC, PC",a7a3d5c1-7a49-46bc-b9ad-08cbe9188e80,Jasmine,Jasmine Jones,Ortho;Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name,"Harris MD, Angela; Wright DO, Howard",3,1,1,1,3,2026-01-05 00:00:00,2026-04-15 00:00:00,2026-01-22 00:00:00,2026-01-26 00:00:00,79,49,1,1,1,0,0,61,2026-07-10 00:00:00
DEIGHTON FAMILY PRACTICE - use this one,a6779fd4-289a-49f7-8602-76dc1bf5764c,Kristen,Kristen Jones,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name,"Badreddine MD, Hamzah",4,1,0,2,3,2026-03-20 00:00:00,2026-06-01 00:00:00,2026-04-15 00:00:00,2026-05-29 00:00:00,3,15,2,1,0,0,0,61,2026-07-10 00:00:00
Henry Ford Health Medical Center - Seven Mile Road,44019f00-063b-4cdc-83d9-96ee51f8c6e3,Kristen,Kristen Jones,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name; Unique provider first + last,"Benedix DO, Matthew W; Mehock DO, Courtney",3,1,1,1,3,2026-05-05 00:00:00,2026-06-17 00:00:00,2026-05-05 00:00:00,2026-04-24 00:00:00,54,26,2,1,0,0,0,61,2026-07-10 00:00:00
Henry Ford St. John Center for Wellness,5e640eee-6b5a-442a-8222-bd81d0a228ec,Coty,Coty Oetjens,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Unique provider first + last,"RAYES DO, LYDIA JOY",3,1,1,1,3,2026-05-15 00:00:00,2026-05-18 00:00:00,2026-05-18 00:00:00,2025-04-08 00:00:00,405,405,0,0,0,3,0,61,2026-07-10 00:00:00
Livonia Family Medical Center,68ceff67-99ac-4ef7-a162-918f93bbdf38,Jasmine,Jasmine Jones,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name,"Burry DO, Michael; Tobin DO, Keith M",3,1,1,1,3,2026-01-07 00:00:00,2026-05-05 00:00:00,2026-05-05 00:00:00,2026-04-07 00:00:00,28,27,3,0,0,0,0,61,2026-07-10 00:00:00
"MARY LEE, MD, PC",d62a30ae-10fe-4408-a2cc-7b0aa9422bb8,Kristen,Kristen Jones,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Unique provider first + last,"Lee MD, Mary S",3,1,0,2,3,2026-01-28 00:00:00,2026-05-07 00:00:00,2026-04-01 00:00:00,2026-05-07 00:00:00,0,48,1,2,0,0,0,61,2026-07-10 00:00:00
"PILLAY INTERNAL MEDICINE ASSOCIATES, PLLC",f5f4f354-94f3-42a1-a3be-10f8a64cdaae,Kristen,Kristen Jones,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Unique provider first + last,"Pillay MD, Jeet N",3,1,0,2,3,2026-02-25 00:00:00,2026-06-26 00:00:00,2026-06-03 00:00:00,2026-05-04 00:00:00,53,30,2,1,0,0,0,61,2026-07-10 00:00:00
Ross Gilders Law,26a4f321-2be3-4d5d-8cf6-335d1fd38f12,Kristen,Kristen Jones,Attorney,One Spine Patient,Deterministically matched,Exact company name; Exact provider name,Ross Gilders; Ross Gilders Law,3,1,2,0,3,2026-01-12 00:00:00,2026-05-29 00:00:00,2026-05-04 00:00:00,2026-04-02 00:00:00,57,32,1,2,0,0,0,61,2026-07-10 00:00:00
Schoenherr Parkway Family Practice,62e680e9-a222-400d-9186-a369d13cf23f,Sean,Sean Sweeney,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name,"Khater MD, Mona",3,1,2,0,3,2026-02-02 00:00:00,2026-04-01 00:00:00,2026-02-24 00:00:00,2026-02-03 00:00:00,57,40,1,2,0,0,0,61,2026-07-10 00:00:00
"TENNY INTERNAL MEDICINE, PLLC",3effe9bc-8576-4eee-ba7e-9bf99eb7d1fa,Jasmine,Jasmine Jones,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name,"Levy FNP-BC, Michelle; Marcarian MD, Gregory",3,1,2,0,3,2026-04-21 00:00:00,2026-05-20 00:00:00,2026-04-21 00:00:00,2026-04-03 00:00:00,47,28,2,1,0,0,0,61,2026-07-10 00:00:00
"Trinity Health IHA Medical Group, Primary Care - Southeast Livonia",6b70f9d5-4063-4208-85f4-1d780fabaacc,Jasmine,Jasmine Jones,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name; Unique provider first + last,"Cooper DO, Candace; MARCUCCI MD, RACHEL B; Walton Doyle MD, Erin",3,1,2,0,3,2026-02-20 00:00:00,2026-05-18 00:00:00,2026-03-19 00:00:00,2026-04-06 00:00:00,42,30,2,1,0,0,0,61,2026-07-10 00:00:00
ARBOR LANE FAMILY PHYSICIANS,ff61f8fa-5169-42e7-aafe-f189027c5f3a,Kristen,Kristen Jones,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name,"Abdo MD, Basil",2,1,1,0,2,2026-01-27 00:00:00,2026-06-26 00:00:00,2026-01-27 00:00:00,2026-05-01 00:00:00,56,62,0,1,1,0,0,61,2026-07-10 00:00:00
Associates in Family Practice,1205856432,Sean,Sean Sweeney,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name,"Oska MD, Fadi",2,1,1,0,2,2026-03-17 00:00:00,2026-04-20 00:00:00,2026-04-20 00:00:00,2026-03-31 00:00:00,20,27,1,1,0,0,0,61,2026-07-10 00:00:00
Cornerstone Internal Medicine,1124006333,Coty,Coty Oetjens,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name; Unique provider first + last,"DALALY MD, FERAH  ADIL; Vitale MD, Massimiliano",2,1,1,0,2,2026-03-18 00:00:00,2026-04-10 00:00:00,2026-03-18 00:00:00,2025-09-11 00:00:00,211,199.5,0,0,0,2,0,61,2026-07-10 00:00:00
Get Well Urgent Care - Sterling Heights,1bcc2e23-5fc1-428c-ad41-dc35c5345bf7,Sean,Sean Sweeney,Urgent care,One Spine Patient,Deterministically matched,Exact company name; Reviewed source alias,Get Well Urgent Care - Sterling Heights; Get Well Urgent Care Of Sterling Heights,2,1,1,0,2,2026-01-16 00:00:00,2026-05-26 00:00:00,2026-01-16 00:00:00,2026-03-20 00:00:00,67,59,0,1,1,0,0,61,2026-07-10 00:00:00
Henry Ford Medical Center - East Jefferson,1043384555,Sean,Sean Sweeney,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name,"Turk MD, Eshel",2,1,1,0,2,2026-01-09 00:00:00,2026-06-01 00:00:00,2026-06-01 00:00:00,2026-04-27 00:00:00,35,42.5,0,2,0,0,0,61,2026-07-10 00:00:00
HENRY FORD MEDICAL CENTER FARMINGTON ROAD INTERNAL MEDICINE,9021dee7-1935-4acc-9d3e-63f9e919459d,Kristen,Kristen Jones,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name,"Alsabeh MD, Rashid; Finn MD, Jeffrey",2,1,0,1,2,2026-06-02 00:00:00,2026-06-09 00:00:00,2026-06-02 00:00:00,2026-05-07 00:00:00,33,29.5,1,1,0,0,0,61,2026-07-10 00:00:00
Jefferson Family Practice (Cornerstone),9b2159ca-9617-4ade-8a25-85a92fcca972,Kristen,Kristen Jones,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name,"Mulpuri MD, Durga",3,1,0,1,2,2026-02-12 00:00:00,2026-03-12 00:00:00,2026-03-12 00:00:00,2026-01-28 00:00:00,43,29,1,1,0,0,0,61,2026-07-10 00:00:00
John Mullally MD PC,b257a3dd-4296-4f0d-89f2-7d9f845a231e,Kristen,Kristen Jones,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name,"MULLALLY MD, JOHN",2,1,1,0,2,2026-02-04 00:00:00,2026-04-28 00:00:00,2026-04-28 00:00:00,2026-01-29 00:00:00,89,47.5,1,0,1,0,0,61,2026-07-10 00:00:00
McLaren Oakland Center for Spine & Pain Management,be1474d8-c6ce-4792-bc96-a22bf4ce125d,Coty,Coty Oetjens,Pain Management,One Spine Patient,Deterministically matched,Exact provider name,"Khan DO, Ashraf; Khan MD, Ashraf",2,1,0,1,2,2026-03-05 00:00:00,2026-06-09 00:00:00,2026-03-05 00:00:00,2026-03-02 00:00:00,99,51,1,0,0,1,0,61,2026-07-10 00:00:00
Oak Street Health - Eastgate,23fb6135-419b-4880-ae64-4a97e9244f37,Coty,Coty Oetjens,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name,"SUEDE NP, KRISTINA",2,1,1,0,2,2026-05-04 00:00:00,2026-05-22 00:00:00,2026-05-22 00:00:00,2026-02-26 00:00:00,85,76,0,0,2,0,0,61,2026-07-10 00:00:00
Park Medical Center (Medicaid),c4cc522a-15ee-4dcb-8312-cc7b7efdf995,Jasmine,Jasmine Jones,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name; Unique provider first + last,"Brown DO, Richard M; Brown, Richard",2,1,1,0,2,2026-01-13 00:00:00,2026-01-19 00:00:00,2026-01-13 00:00:00,2025-12-17 00:00:00,33,30,1,1,0,0,0,61,2026-07-10 00:00:00
Preferred Medical Group,1356443600,Coty,Coty Oetjens,Internal Medicine/PCP;Physiatry,One Spine Patient,Deterministically matched,Exact provider name; Exact provider name + referral PL owner,"Gillespie DPM, Rachel; Ustruck DO, Rachael",2,1,1,0,2,2026-03-24 00:00:00,2026-06-25 00:00:00,2026-03-24 00:00:00,2026-06-24 00:00:00,1,1,2,0,0,0,0,61,2026-07-10 00:00:00
SHEIKH MEDICAL CENTER,7c32d0b4-c83f-4756-924c-9c8c74996a39,Kristen,Kristen Jones,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Unique provider first + last,"Cameron MD, Mary A; Sheikh, Mohammad I",2,1,1,0,2,2026-05-21 00:00:00,2026-06-12 00:00:00,2026-06-12 00:00:00,2026-05-11 00:00:00,32,21,1,1,0,0,0,61,2026-07-10 00:00:00
Swetech Medical Center,1255427209,Kristen,Kristen Jones,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name,"SWETECH MD, MARIA; Swetech DO, Jonathan",2,1,0,1,2,2026-02-09 00:00:00,2026-05-14 00:00:00,2026-02-09 00:00:00,2026-03-24 00:00:00,51,42,0,2,0,0,0,61,2026-07-10 00:00:00
Team Rehabilitation  - Washington,940f0098-7ee4-47be-9425-5cd4bbc4dd0f,Kristen,Kristen Jones,Physical Therapy,One Spine Patient,Deterministically matched,Exact provider name,"Genoff DPT, Dave; Maasri DPT, Rami",2,1,1,0,2,2026-03-12 00:00:00,2026-03-25 00:00:00,2026-03-12 00:00:00,2026-02-10 00:00:00,43,36.5,1,1,0,0,0,61,2026-07-10 00:00:00
"TONI BALLITCH TRATE, DO, PC",a1394f28-7761-4612-ab27-23681dcadac0,Kristen,Kristen Jones,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Unique provider first + last,"Trate DO, Toni",2,1,0,1,2,2026-03-18 00:00:00,2026-07-08 00:00:00,2026-03-18 00:00:00,2026-05-11 00:00:00,58,43.5,1,1,0,0,0,61,2026-07-10 00:00:00
Tri-County Medical Clinic,1386634749,Sean,Sean Sweeney,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Unique provider first + last,"Deitch DO, Jeffrey S; Wolok Do, Kenneth J",2,1,1,0,2,2026-01-19 00:00:00,2026-02-03 00:00:00,2026-01-19 00:00:00,2026-01-23 00:00:00,11,25.5,1,1,0,0,0,61,2026-07-10 00:00:00
Yale Family Care,03bf4090-11b2-4f44-94a5-662885cce913,Kristen,Kristen Jones,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Unique provider first + last,"Doshi MD, Seema K",2,1,1,0,2,2026-04-14 00:00:00,2026-06-04 00:00:00,2026-04-14 00:00:00,2026-03-19 00:00:00,77,51.5,1,0,1,0,0,61,2026-07-10 00:00:00
"APOLLO HEALTH SERVICES, PC",1689099f-fc6b-4174-9111-5dce70adbd66,Jasmine,Jasmine Jones,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name,"Kambhatla MD, Sujata",1,1,0,0,1,2026-03-31 00:00:00,2026-03-31 00:00:00,2026-03-31 00:00:00,2026-01-05 00:00:00,85,85,0,0,1,0,0,61,2026-07-10 00:00:00
Barry S Meyer DO PC,a183eb7c-8d61-4470-8154-52f7dbff87b5,Coty,Coty Oetjens,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Unique provider first + last,"Meyer DO, Barry S",1,1,0,0,1,2026-05-27 00:00:00,2026-05-27 00:00:00,2026-05-27 00:00:00,2026-05-01 00:00:00,26,26,1,0,0,0,0,61,2026-07-10 00:00:00
Bay Area Family Physicians,1093985145,Coty,Coty Oetjens,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name,"Hopman MD, Eileen",1,1,0,0,1,2026-06-17 00:00:00,2026-06-17 00:00:00,2026-06-17 00:00:00,2026-05-19 00:00:00,29,29,1,0,0,0,0,61,2026-07-10 00:00:00
Blue Water Urgent Care,57c8b393-1204-4def-8cf0-5461a39e5e14,Kristen,Kristen Jones,Urgent Cares,One Spine Patient,Deterministically matched,Exact company name,Blue Water Urgent Care,1,1,0,0,1,2026-02-10 00:00:00,2026-02-10 00:00:00,2026-02-10 00:00:00,2026-01-12 00:00:00,29,29,1,0,0,0,0,61,2026-07-10 00:00:00
Brighton Internal Medicine,02e450b1-82e8-408a-a0a4-fa7af806ed2b,Coty,Coty Oetjens,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name,"Shahab MD, Syed Masood",1,1,0,0,1,2026-01-06 00:00:00,2026-01-06 00:00:00,2026-01-06 00:00:00,2025-11-04 00:00:00,63,63,0,0,1,0,0,61,2026-07-10 00:00:00
Center For Hollistic Medicine,42b038b0-949b-46be-8843-e02868bb894a,Kristen,Kristen Jones,Hollistic Medicine,One Spine Patient,Deterministically matched,Unique provider first + last,"Brownstein DO, Hailey L",1,1,0,0,1,2026-04-27 00:00:00,2026-04-27 00:00:00,2026-04-27 00:00:00,2026-02-12 00:00:00,74,74,0,0,1,0,0,61,2026-07-10 00:00:00
Christensen Law,1ddf5ef9-8562-4164-9faa-60a49c6aa066,Kristen,Kristen Jones,Attorney,One Spine Patient,Deterministically matched,Exact company name,Christensen Law,1,1,0,0,1,2026-04-02 00:00:00,2026-04-02 00:00:00,2026-04-02 00:00:00,2026-03-17 00:00:00,16,16,1,0,0,0,0,61,2026-07-10 00:00:00
Community First Health Centers - New Haven,8cef9fd7-931c-4e45-bf44-0cac47716f62,Coty,Coty Oetjens,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name,"Singleton MD, Shelia",1,1,0,0,1,2026-06-09 00:00:00,2026-06-09 00:00:00,2026-06-09 00:00:00,2026-05-19 00:00:00,21,21,1,0,0,0,0,61,2026-07-10 00:00:00
Core Institute/Henry Ford Motor City Orthopedics & PT- Southfield,b2290856-de23-4322-aabc-b2436529feac,Jasmine,Jasmine Jones,Orthopedic - PT,One Spine Patient,Deterministically matched,Unique provider first + last,"Bolz MD, Nick",1,1,0,0,1,2026-05-12 00:00:00,2026-05-12 00:00:00,2026-05-12 00:00:00,2026-04-14 00:00:00,28,28,1,0,0,0,0,61,2026-07-10 00:00:00
CoreMed - Commerce,eab7d954-a523-466a-a75b-3eca7bf9c6d0,Kristen,Kristen Jones,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name,"Skelton PA-C, Kelsey",1,1,0,0,1,2026-03-12 00:00:00,2026-03-12 00:00:00,2026-03-12 00:00:00,,,,0,0,0,0,1,61,2026-07-10 00:00:00
COREWELL HEALTH  INTERNAL MEDICINE DEARBORN,9d286e7b-6017-417c-8a6b-763fe942c9c2,Jasmine,Jasmine Jones,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name,"ZOABI MD, SARAH",1,1,0,0,1,2026-04-29 00:00:00,2026-04-29 00:00:00,2026-04-29 00:00:00,2026-03-25 00:00:00,35,35,0,1,0,0,0,61,2026-07-10 00:00:00
Corewell Health-East,04ad9387-b1fe-45cd-bd14-73188de8e04a,Kristen,Kristen Jones,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name,"Qin MD, Pu",1,1,0,0,1,2026-02-25 00:00:00,2026-02-25 00:00:00,2026-02-25 00:00:00,2026-02-02 00:00:00,23,23,1,0,0,0,0,61,2026-07-10 00:00:00
Corewell Internal Medicine Southfield,5eb6a409-5e7b-430f-a462-af3a919cfc22,Kristen,Kristen Jones,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Unique provider first + last,"Michel MD, Adrian Laith",1,1,0,0,1,2026-04-21 00:00:00,2026-04-21 00:00:00,2026-04-21 00:00:00,2026-03-04 00:00:00,48,48,0,1,0,0,0,61,2026-07-10 00:00:00
Cornerstone Lakefront Internists,16c0ac85-6d3c-4c74-97b4-385a2a7fac00,Sean,Sean Sweeney,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name,"Osowa MD, Benjamin",1,1,0,0,1,2026-02-10 00:00:00,2026-02-10 00:00:00,2026-02-10 00:00:00,2025-11-07 00:00:00,95,95,0,0,0,1,0,61,2026-07-10 00:00:00
Corwell health orthopedics Canton,48d727c6-d942-4dbb-b457-0839ac8e1b68,Jasmine,Jasmine Jones,Ortho,One Spine Patient,Deterministically matched,Exact provider name + referral PL owner,"Odeh MD, Khalid",1,1,0,0,1,2026-02-04 00:00:00,2026-02-04 00:00:00,2026-02-04 00:00:00,2025-12-15 00:00:00,51,51,0,1,0,0,0,61,2026-07-10 00:00:00
