Company ID,Company Name,Groups,Spine Tier,Spine Wave,Spine Target Score,Referral Evidence,2026 Spine Patients,Visit Frequency Days,Route Day,First Planned Week,Next Action,Assigned PL
c357306a-7118-459d-82fc-5365721ca926,U of M Neurosurgery,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
6900d9f0-9d28-423a-98a4-281fb9ac13c1,IHA Ann Arbor Orthpaedic Specialists,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
b6be5dd0-40a2-450c-946b-5deaaf8b0178,Trinity IHA Hand Surgery - Ypsilanti,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
19d50314-6b7d-4516-94cb-e3c191c3fde1,MedSport - Ann Arbor Domino's Farms,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
42caeada-e3af-49fd-ab98-cc39cf1a5ffe,Chelsea Physical Medicine & Rehabilitation Specialists,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
1033228903,Trinity Health IHA Orthopaedics - Chelsea,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
e73e7e8b-2c72-479d-b015-c7ff5509f700,Precision Interventional Radiology,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
2b5bba73-5878-4fa6-b615-7b5106bbe4e0,"SPINE SPECIALISTS OF MICHIGAN, PC",Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
1619959566,Beaumont Royal Oak - Physical Medicine & Rehabilitation,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
4c1b7fe8-a5c4-417f-bee6-92fae75a3c35,Spine & Brain Surgery Specialists,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
d012f6c8-f44d-46a5-9f8e-b3b522de7d83,Arthritis Physicians,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
47bcf8c4-c5dc-4d5a-9a9e-4bece6e01698,Premier Surgical Specialists,Non-Spine,Non-Spine (removed in Jul 31 validation),,,Visit / Prospect,0,,,,Removed: Vetted out — PL eyeball Jul 31,Coty
931a0b27-6417-43b6-a15a-c3eac7f8203a,"MEDICAL GROUP PRACTICE, PC (Olympia health)",Jasmine's unrelated; Internal Medicine/PCP; Non-Spine,Non-Spine (removed Aug 14 — field read),,,Ortho Referrer,0,,,,"Removed: refers only within Olympia network (Jasmine note, Dec 2025-Aug 2026)",Jasmine
