source,proposed_target,source_http,source_redirects_to_now,category,action_target,confidence,note
/providers/jeffrey-r-mendelson-md/,/providers/jeffrey-mendelson-md/,404,,to do — dead URL,/providers/jeffrey-mendelson-md/,High,
/providers/kyle-bohm-md/null/,/providers/kyle-bohm-md/,404,,to do — dead URL,/providers/kyle-bohm-md/,High,
/providers/stephen-e-mendelson-md/,/providers/stephen-mendelson-md/,404,,to do — dead URL,/providers/stephen-mendelson-md/,High,
/specialties/locations/livonia-orthopedics/,/specialties/orthopedic-services/livonia/,301,/specialty/locations/livonia-orthopedics/ [UNCRAWLED],"already redirected — target outside crawl, spot-check",,High,resolved through site redirect
/specialties/locations/warren-orthopedics/directions/,/specialties/locations/livonia-orthopedics/directions/,404,,to do — dead URL,/specialty/orthopedic-services/,High,manual fix (proposed target dead)
/specialties/orthopedic-services/southfield/,/specialty/orthopedic-services/southfield/,301,/specialty/orthopedic-services/southfield/ [200],done,/specialty/orthopedic-services/southfield/,High,
/specialties/specialties/pain-management/,/treatment/pain-management/,301,/specialty/specialties/pain-management/ [UNCRAWLED],"already redirected — target outside crawl, spot-check",,High,
/specialties/spine-back-and-neck-old/disc-arthroplasty/,/specialties/spine-back-and-neck/disc-arthroplasty/,301,/specialty/spine-back-and-neck-old/disc-arthroplasty/ [UNCRAWLED],"already redirected — target outside crawl, spot-check",,High,resolved through site redirect
/specialties/spine-back-and-neck/lumbar-fusion/,/specialties/spine-back-and-neck-old/lumbar-fusion/,301,/specialty/spine-back-and-neck/lumbar-fusion/ [UNCRAWLED],"already redirected — target outside crawl, spot-check",,High,manual fix (proposed target dead)
/specialties/spine-back-and-neck/lumbar-laminectomy-2/,/treatment/lumbar-laminectomy/,301,/specialty/spine-back-and-neck/lumbar-laminectomy-2/ [UNCRAWLED],"already redirected — target outside crawl, spot-check",,High,
/specialties/spine-back-and-neck/thoracic-lumbar-decompression-surgery/,/treatment/thoracic-lumbar-decompression/,301,/specialty/spine-back-and-neck/thoracic-lumbar-decompression-surgery/ [UNCRAWLED],"already redirected — target outside crawl, spot-check",,High,
/specialty/hand-upper-extremity/livonia/,/specialties/hand-upper-extremity/livonia/,404,,to do — dead URL,/specialty/hand-wrist/livonia/,High,manual fix (proposed target dead)
/specialty/orthopedics/,/specialty/orthopedic-services/,301,/specialty/orthopedic-services/ [200],done,/specialty/orthopedic-services/,High,
/specialty/pain-management/,/specialties/pain-management/,404,,to do — dead URL,/treatment/pain-management/,High,resolved through site redirect
